PatientAccessionIdentifier,NHSNumber,HospitalNumber,PatientFamilyName,PatientGivenName,DateOfBirth,AdministrativeSex,PostCode,HospitalSpellIdentifier,OrderingProviderIdentifier,OrderingProviderName,RequestingOrganisationCode,RequestingOrganisationName,PlacerOrderNumber,FMIIdentifier,FillerOrderNumber,OrderStatus,ReportStatusDateTime,ReportIdentifier,NGTDTestCode,NGTDTestName,TestCode,TestAccessionIdentifier,TestOrderDate,ObservationResultStatus,ObservationDateTime,ObservationIdentifierCode,ObservationIdentifierDescription,SpecimenTakenDateTime,SpecimenReceivedDateTime,SpecimenAccessionIdentifier,SpecimenTypeCode,SpecimenTypeDescription
200006,9737383214,RTX7565482,LANCASTER,Jaime,1970-07-27,Male,LA1 1RP,SP26-00002,SH_JJE,Dr Jonathan Edgerley,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-W5IY,,T26-JC03,Testing,22 Mar 2026 19:00,R26-LMO3,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-JC03,07 Mar 2026 10:00,F,22 Mar 2026 11:00,,,09 Mar 2026 09:00,10 Mar 2026 04:00,S26-CXJL,BL,Blood
200008,9737383389,RXR5797566,BURNLEY,Selyse,1967-09-18,Female,BB10 2PQ,,SH_JJE,Dr Jonathan Edgerley,RXR,East Lancashire Hospitals NHS Trust,P26-0S6Q,,T26-AY2M,Testing,14 Jan 2026 07:00,R26-XZY5,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-AY2M,05 Jan 2026 17:00,F,12 Jan 2026 22:00,,,07 Jan 2026 10:00,07 Jan 2026 20:00,S26-L0BB,BL,Blood
200012,9737873858,RHQ5948241,SHEFFIELD,Theon,1986-09-12,Male,S1 2JF,,SH_LDW,Dr Leah Woodford,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,P26-TOC3,,T26-BH9H,Testing,14 Mar 2026 16:00,R26-L320,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-BH9H,01 Mar 2026 12:00,F,14 Mar 2026 12:00,,,01 Mar 2026 23:00,03 Mar 2026 11:00,S26-TNGL,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_AMK,Dr Amelia Kinnear,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-DVFW,,T26-4DLX,Testing,27 Jan 2026 02:00,R26-PWZ9,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-4DLX,17 Jan 2026 13:00,F,26 Jan 2026 15:00,,,18 Jan 2026 21:00,19 Jan 2026 03:00,S26-L0ER,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_RPT,Dr Ross Pettifer,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-50JL,,T26-3WO1,Testing,01 Jul 2026 23:00,R26-67UQ,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-3WO1,23 Jun 2026 09:00,F,30 Jun 2026 11:00,,,24 Jun 2026 06:00,25 Jun 2026 02:00,S26-L4DK,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_RPT,Dr Ross Pettifer,RR8,Leeds Teaching Hospitals NHS Trust,P26-KCO3,,T26-FYAU,Testing,06 Feb 2026 04:00,R26-STBO,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-FYAU,28 Jan 2026 09:00,F,05 Feb 2026 21:00,,,30 Jan 2026 04:00,30 Jan 2026 21:00,S26-ZWHZ,BL,Blood
200016,9737383397,RMP6419544,TAMESIDE,Hodor,1960-07-27,Male,OL6 9RW,,SH_RPT,Dr Ross Pettifer,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,P26-7P6V,,T26-SI89,Testing,19 May 2026 03:00,R26-I63P,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-SI89,04 May 2026 08:00,F,19 May 2026 03:00,,,04 May 2026 21:00,06 May 2026 16:00,S26-PZLQ,BL,Blood
200000,9737383192,R0A4990415,MANCHESTER,Sansa,1972-09-21,Female,M13 9PL,SP26-00003,SH_AMK,Dr Amelia Kinnear,R0A,Manchester University NHS Foundation Trust,P26-VHC1,,T26-G1EM,Testing,16 Jun 2026 18:00,R26-JNDU,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-G1EM,08 Jun 2026 15:00,F,15 Jun 2026 07:00,,,08 Jun 2026 19:00,10 Jun 2026 02:00,S26-WE6I,BL,Blood
200018,9737383346,RCD9077482,HAWES,Ygritte,2023-02-09,Female,DL8 3RE,,SH_AMK,Dr Amelia Kinnear,RCD,Harrogate and District NHS Foundation Trust,P26-6GG4,,T26-G2RD,Testing,11 May 2026 05:00,R26-V1KT,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-G2RD,26 Apr 2026 14:00,F,09 May 2026 23:00,,,26 Apr 2026 19:00,28 Apr 2026 12:00,S26-4H8O,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_LDW,Dr Leah Woodford,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-ZEVR,,T26-NBAN,Testing,11 Apr 2026 19:00,R26-2KSD,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-NBAN,30 Mar 2026 11:00,F,11 Apr 2026 12:00,,,31 Mar 2026 08:00,02 Apr 2026 01:00,S26-PLFG,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_RPT,Dr Ross Pettifer,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-O66O,,T26-6Y43,Testing,30 Mar 2026 09:00,R26-ANUA,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-6Y43,15 Mar 2026 10:00,F,30 Mar 2026 06:00,,,17 Mar 2026 08:00,19 Mar 2026 05:00,S26-KSLF,BL,Blood
200021,9737383206,REM7442130,LIVERPOOL,Ned,1942-06-18,Male,L7 8XP,,SH_LDW,Dr Leah Woodford,REM,Liverpool University Hospitals NHS Foundation Trust,P26-3MW9,,T26-1LK5,Testing,05 Apr 2026 00:00,R26-KE1U,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-1LK5,19 Mar 2026 11:00,F,03 Apr 2026 19:00,,,20 Mar 2026 12:00,22 Mar 2026 07:00,S26-CP4L,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_JJE,Dr Jonathan Edgerley,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-RQ6M,,T26-JKV4,Testing,20 Jul 2026 03:00,R26-M05Z,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-JKV4,09 Jul 2026 15:00,F,19 Jul 2026 01:00,,,10 Jul 2026 11:00,12 Jul 2026 01:00,S26-AYMZ,BL,Blood
200007,9737383413,R0A3594349,STREFORD,Syrio,1992-05-29,Male,M32 0JR,,SH_RPT,Dr Ross Pettifer,R0A,Manchester University NHS Foundation Trust,P26-9D0W,,T26-N8GX,Testing,12 Jul 2026 19:00,R26-EONM,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-N8GX,27 Jun 2026 10:00,F,11 Jul 2026 10:00,,,28 Jun 2026 17:00,30 Jun 2026 08:00,S26-4CGO,BL,Blood
200024,9737383338,RWJ7613989,BUXTON,Lysa,1971-01-01,Female,SK17 6TE,SP26-00004,SH_AMK,Dr Amelia Kinnear,RWJ,Stockport NHS Foundation Trust,P26-L2BV,,T26-BOSX,Testing,07 Jul 2026 04:00,R26-MAT6,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-BOSX,28 Jun 2026 08:00,F,05 Jul 2026 19:00,,,28 Jun 2026 18:00,29 Jun 2026 15:00,S26-LY1I,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_AMK,Dr Amelia Kinnear,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-GO24,,T26-3U1M,Testing,29 Mar 2026 20:00,R26-4U7F,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-3U1M,19 Mar 2026 12:00,F,28 Mar 2026 12:00,,,21 Mar 2026 10:00,23 Mar 2026 06:00,S26-8058,BL,Blood
200026,9737383273,RMC7021955,BOLTON,Ramsay,1985-05-13,Male,BL1 8SF,,SH_AMK,Dr Amelia Kinnear,RMC,Bolton NHS Foundation Trust,P26-P4LB,,T26-VQFT,Testing,14 May 2026 06:00,R26-DK72,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-VQFT,03 May 2026 10:00,F,12 May 2026 19:00,,,03 May 2026 11:00,04 May 2026 14:00,S26-KDP9,BL,Blood
200018,9737383346,RCD9077482,HAWES,Ygritte,2023-02-09,Female,DL8 3RE,,SH_RPT,Dr Ross Pettifer,RCD,Harrogate and District NHS Foundation Trust,P26-ZQ3D,,T26-2LWD,Testing,01 Jul 2026 13:00,R26-JZCW,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-2LWD,17 Jun 2026 11:00,F,30 Jun 2026 16:00,,,18 Jun 2026 09:00,19 Jun 2026 04:00,S26-0KP7,BL,Blood
200028,9737383257,REM7676150,WREXHAM,Myrcella,1999-10-13,Female,LL13 7TD,,SH_LDW,Dr Leah Woodford,REM,Liverpool University Hospitals NHS Foundation Trust,P26-2C56,,T26-RVTT,Testing,02 Jun 2026 22:00,R26-VR0T,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-RVTT,23 May 2026 10:00,F,02 Jun 2026 17:00,,,24 May 2026 23:00,26 May 2026 05:00,S26-K224,BL,Blood
200029,9737873998,RXP7136968,DURHAM,Alicent,1993-12-27,Female,DH1 3HP,,SH_LDW,Dr Leah Woodford,RXP,County Durham and Darlington NHS Foundation Trust,P26-XI6I,,T26-XU1L,Testing,17 Apr 2026 06:00,R26-7PFL,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-XU1L,08 Apr 2026 13:00,F,16 Apr 2026 02:00,,,10 Apr 2026 08:00,10 Apr 2026 22:00,S26-WCO2,BL,Blood
200021,9737383206,REM7442130,LIVERPOOL,Ned,1942-06-18,Male,L7 8XP,,SH_AMK,Dr Amelia Kinnear,REM,Liverpool University Hospitals NHS Foundation Trust,P26-I5LX,,T26-HOWC,Testing,10 Feb 2026 02:00,R26-O12R,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-HOWC,27 Jan 2026 17:00,F,09 Feb 2026 06:00,,,29 Jan 2026 15:00,31 Jan 2026 05:00,S26-FV1Y,BL,Blood
200031,9737383281,RBT5094163,CONGLETON,Margaery,1982-02-11,Female,CW12 1DT,SP26-00005,SH_LDW,Dr Leah Woodford,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-C15L,,T26-GURY,Testing,31 Jul 2026 11:00,R26-ZD20,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-GURY,19 Jul 2026 10:00,F,30 Jul 2026 22:00,,,21 Jul 2026 02:00,22 Jul 2026 17:00,S26-FDTC,BL,Blood
200018,9737383346,RCD9077482,HAWES,Ygritte,2023-02-09,Female,DL8 3RE,,SH_LDW,Dr Leah Woodford,RCD,Harrogate and District NHS Foundation Trust,P26-DLN5,,T26-C09W,Testing,27 May 2026 06:00,R26-FC93,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-C09W,12 May 2026 08:00,F,26 May 2026 05:00,,,14 May 2026 07:00,16 May 2026 01:00,S26-SZDD,BL,Blood
200000,9737383192,R0A4990415,MANCHESTER,Sansa,1972-09-21,Female,M13 9PL,,SH_RPT,Dr Ross Pettifer,R0A,Manchester University NHS Foundation Trust,P26-D530,,T26-OXGB,Testing,28 Jan 2026 19:00,R26-C9OR,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-OXGB,19 Jan 2026 08:00,F,28 Jan 2026 06:00,,,20 Jan 2026 19:00,22 Jan 2026 04:00,S26-4ILZ,BL,Blood
200034,9737383265,RCB2009594,NOTTINGHAM,Lyarra,1924-01-05,Female,NG7 2UH,,SH_JJE,Dr Jonathan Edgerley,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,P26-V6H8,,T26-6416,Testing,11 Feb 2026 22:00,R26-XS0M,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-6416,02 Feb 2026 15:00,F,10 Feb 2026 10:00,,,03 Feb 2026 08:00,04 Feb 2026 23:00,S26-N1NJ,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_JJE,Dr Jonathan Edgerley,RR8,Leeds Teaching Hospitals NHS Trust,P26-42P4,,T26-B58Z,Testing,13 Mar 2026 17:00,R26-GIB4,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-B58Z,04 Mar 2026 14:00,F,13 Mar 2026 13:00,,,05 Mar 2026 14:00,07 Mar 2026 08:00,S26-ZFPW,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_RPT,Dr Ross Pettifer,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-CUYI,,T26-YTLV,Testing,11 Apr 2026 13:00,R26-PO35,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-YTLV,02 Apr 2026 11:00,F,11 Apr 2026 09:00,,,03 Apr 2026 12:00,05 Apr 2026 07:00,S26-2DWC,BL,Blood
200029,9737873998,RXP7136968,DURHAM,Alicent,1993-12-27,Female,DH1 3HP,,SH_RPT,Dr Ross Pettifer,RXP,County Durham and Darlington NHS Foundation Trust,P26-GBEZ,,T26-YVS4,Testing,25 Mar 2026 12:00,R26-PA09,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-YVS4,16 Mar 2026 10:00,F,25 Mar 2026 05:00,,,18 Mar 2026 06:00,19 Mar 2026 01:00,S26-MJXK,BL,Blood
200001,9737873971,RTR2920101,MIDDLESBOROUGH,Allanys,1947-04-27,Female,TS1 2BX,SP26-00006,SH_JJE,Dr Jonathan Edgerley,RTR,South Tees Hospitals NHS Foundation Trust,P26-C6XG,,T26-UVM0,Testing,12 Jun 2026 05:00,R26-5JSC,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-UVM0,30 May 2026 09:00,F,11 Jun 2026 19:00,,,31 May 2026 11:00,02 Jun 2026 11:00,S26-M5Z5,BL,Blood
